Year,black_hair,brown_eyes,brown_nonblack_hair,blue_eyes,total_east_asian,black_hair_percentage,brown_eyes_percentage
1981,14,15,1,0,15,0.933333333,1
1982,20,20,0,0,20,1,1
1983,10,11,1,0,11,0.909090909,1
1984,25,25,0,0,25,1,1
1985,28,28,0,0,28,1,1
1986,36,36,0,0,36,1,1
1987,16,17,1,0,17,0.941176471,1
1988,13,13,0,0,13,1,1
1989,7,7,0,0,7,1,1
1990,7,7,0,0,7,1,1
1991,14,14,0,0,14,1,1
1992,NA,,,,,,
1993,NA,,,,,,
1994,13,13,0,0,13,1,1
1995,25,25,0,0,25,1,1
1996,10,10,0,0,10,1,1
1997,17,19,2,0,19,0.894736842,1
1998,NA,,,,,,
1999,11,12,1,0,12,0.916666667,1
2000,12,14,2,0,14,0.857142857,1
2001,NA,,,,,,
2002,NA,,,,,,
2003,NA,,,,,,
2004,25,25,0,0,25,1,1
2005,NA,,,,,,
2006,NA,,,,,,
2007,NA,,,,,,
2008,NA,,,,,,
2009,5,5,0,0,5,1,1
2010,NA,,,,,,
2011,15,15,0,0,15,1,1
2012,NA,,,,,,
2013,9,9,0,0,9,1,1
2014,7,7,0,0,7,1,1
2015,NA,,,,,,
2016,7,7,0,0,7,1,1
2017,17,18,1,0,18,0.944444444,1
2018,21,22,1,0,22,0.954545455,1
,384,394,10,0,394,,
